exp,slug,seed,val_macro_f1,val_mcc,test_macro_f1,test_mcc,xrig_macro_f1,xrig_mcc,heldout_rig,best_epoch,epochs_trained,changed_vs_baseline,note,created_at,git_commit
50,lorio_baseline_heldout_sony_cam,42,0.9485,0.9423,0.9238,0.9143,0.3044,0.3198,2026-08-09__sony_cam,37,45,random_erasing_p=0.5,"leave-one-rig-out, arm=baseline, held out 2026-08-09__sony_cam; scale_frac=0.0-0.0",2026-08-10T07:52:12.066960+00:00,622f4f952fd415435e29b2cb53dc89e3a8e21066
51,lorio_scale_heldout_box_pictures_all_classes,42,0.8392,0.8211,0.8608,0.8441,0.5413,0.5342,2026-08-07__box_pictures_all_classes,36,44,random_erasing_p=0.5,"leave-one-rig-out, arm=scale, held out 2026-08-07__box_pictures_all_classes; scale_frac=0.15-0.6",2026-08-10T10:06:03.221089+00:00,37bf57f845f783d16ab3c4d189db14c85714a64b
52,lorio_scale_heldout_pixel_cam,42,0.8445,0.8272,0.8107,0.7877,0.6843,0.6396,2026-08-09__pixel_cam,45,50,random_erasing_p=0.5,"leave-one-rig-out, arm=scale, held out 2026-08-09__pixel_cam; scale_frac=0.15-0.6",2026-08-10T14:51:25.823358+00:00,9854169c509693dcb23f4a883c33ffc12acdc79c
53,lorio_scale_heldout_sony_cam,42,0.8481,0.8303,0.8532,0.8362,0.4431,0.4367,2026-08-09__sony_cam,46,50,random_erasing_p=0.5,"leave-one-rig-out, arm=scale, held out 2026-08-09__sony_cam; scale_frac=0.15-0.6",2026-08-10T17:30:52.335417+00:00,9854169c509693dcb23f4a883c33ffc12acdc79c
54,lorio_scale_e80_heldout_box_pictures_all_classes,42,0.8410,0.8223,0.8409,0.8222,0.5654,0.5547,2026-08-07__box_pictures_all_classes,30,38,epochs=80; random_erasing_p=0.5,"leave-one-rig-out, arm=scale, held out 2026-08-07__box_pictures_all_classes; scale_frac=0.15-0.6, epochs=80",2026-08-10T19:54:02.938569+00:00,c887e6f7f6d55d476717755d21a6da57ab93cc6f
55,lorio_scale_e80_heldout_pixel_cam,42,0.8485,0.8324,0.8247,0.8017,0.7065,0.6607,2026-08-09__pixel_cam,43,51,epochs=80; random_erasing_p=0.5,"leave-one-rig-out, arm=scale, held out 2026-08-09__pixel_cam; scale_frac=0.15-0.6, epochs=80",2026-08-10T22:18:40.361938+00:00,c887e6f7f6d55d476717755d21a6da57ab93cc6f
56,lorio_scale_e80_heldout_sony_cam,42,0.8613,0.8440,0.8581,0.8412,0.4398,0.4355,2026-08-09__sony_cam,45,53,epochs=80; random_erasing_p=0.5,"leave-one-rig-out, arm=scale, held out 2026-08-09__sony_cam; scale_frac=0.15-0.6, epochs=80",2026-08-11T00:52:07.726945+00:00,c887e6f7f6d55d476717755d21a6da57ab93cc6f
57,lorio_baseline_e80_heldout_box_pictures_all_classes,42,0.8617,0.8441,0.8659,0.8489,0.1729,0.2600,2026-08-07__box_pictures_all_classes,18,26,epochs=80; random_erasing_p=0.5,"leave-one-rig-out, arm=baseline, held out 2026-08-07__box_pictures_all_classes; scale_frac=0.0-0.0, epochs=80",2026-08-11T02:06:21.847319+00:00,c887e6f7f6d55d476717755d21a6da57ab93cc6f
58,lorio_baseline_e80_heldout_pixel_cam,42,0.8838,0.8690,0.8923,0.8789,0.5374,0.5433,2026-08-09__pixel_cam,18,26,epochs=80; random_erasing_p=0.5,"leave-one-rig-out, arm=baseline, held out 2026-08-09__pixel_cam; scale_frac=0.0-0.0, epochs=80",2026-08-11T03:21:25.853905+00:00,c887e6f7f6d55d476717755d21a6da57ab93cc6f
59,lorio_baseline_e80_heldout_sony_cam,42,0.9512,0.9455,0.9307,0.9220,0.3124,0.3304,2026-08-09__sony_cam,37,45,epochs=80; random_erasing_p=0.5,"leave-one-rig-out, arm=baseline, held out 2026-08-09__sony_cam; scale_frac=0.0-0.0, epochs=80",2026-08-11T05:38:17.394950+00:00,c887e6f7f6d55d476717755d21a6da57ab93cc6f
60,lorio_beans_e80_heldout_box_pictures_all_classes,42,0.9295,0.9204,0.9004,0.8880,0.6090,0.6128,2026-08-07__box_pictures_all_classes,40,48,epochs=80; random_erasing_p=0.5,"leave-one-rig-out, arm=beans, held out 2026-08-07__box_pictures_all_classes; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80",2026-08-11T13:42:44.598675+00:00,8054ea23cc9159f392b4cc6db2bebadfdcf79330
61,lorio_beans_e80_heldout_pixel_cam,42,0.9048,0.8945,0.8854,0.8705,0.7048,0.6701,2026-08-09__pixel_cam,17,25,epochs=80; random_erasing_p=0.5,"leave-one-rig-out, arm=beans, held out 2026-08-09__pixel_cam; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80",2026-08-11T15:01:57.388159+00:00,071ba4ea8b12efcbcad20bc0787c8c30d3e3c8d8
62,lorio_beans_e80_heldout_sony_cam,42,0.9418,0.9345,0.9363,0.9282,0.4521,0.4618,2026-08-09__sony_cam,51,59,epochs=80; random_erasing_p=0.5,"leave-one-rig-out, arm=beans, held out 2026-08-09__sony_cam; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80",2026-08-11T18:10:39.037498+00:00,3ccff4cbc6e6ffdba23160ddef48742352c27fdf
63,lorio_beans69_e80_heldout_box_pictures_all_classes,42,0.9446,0.9379,0.8972,0.8864,0.5587,0.5590,2026-08-07__box_pictures_all_classes,31,39,epochs=80; random_erasing_p=0.5,"leave-one-rig-out, arm=beans69, held out 2026-08-07__box_pictures_all_classes; scale_frac=0.0-0.0, beans=6.0-9.0, epochs=80",2026-08-11T20:06:44.318523+00:00,fae7de92f29df01e009c1ee4048119ec55507039
64,lorio_beans69_e80_heldout_pixel_cam,42,0.9388,0.9340,0.9197,0.9100,0.7311,0.7096,2026-08-09__pixel_cam,36,44,epochs=80; random_erasing_p=0.5,"leave-one-rig-out, arm=beans69, held out 2026-08-09__pixel_cam; scale_frac=0.0-0.0, beans=6.0-9.0, epochs=80",2026-08-11T22:16:39.127642+00:00,59fa25ef8b0ddf8a0650877d200321d1bb565896
65,lorio_beans69_e80_heldout_sony_cam,42,0.9834,0.9813,0.9596,0.9548,0.3408,0.3803,2026-08-09__sony_cam,52,60,epochs=80; random_erasing_p=0.5,"leave-one-rig-out, arm=beans69, held out 2026-08-09__sony_cam; scale_frac=0.0-0.0, beans=6.0-9.0, epochs=80",2026-08-12T01:10:45.977682+00:00,791e30bcddc10e46a9f427d5d172035e6c13d625
66,lorio_beans_e80_s123_heldout_box_pictures_all_classes,123,0.9233,0.9143,0.8898,0.8767,0.6150,0.6181,2026-08-07__box_pictures_all_classes,60,68,epochs=80; random_erasing_p=0.5; seed=123,"leave-one-rig-out, arm=beans, held out 2026-08-07__box_pictures_all_classes; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80",2026-08-12T10:52:20.764161+00:00,8c6fbfee2b88da75b371e01a5c812246f2712d8a
67,lorio_beans_e80_s123_heldout_pixel_cam,123,0.9117,0.9018,0.8897,0.8768,0.7369,0.7069,2026-08-09__pixel_cam,42,50,epochs=80; random_erasing_p=0.5; seed=123,"leave-one-rig-out, arm=beans, held out 2026-08-09__pixel_cam; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80",2026-08-12T13:20:46.514470+00:00,b88a1e0a2f79133a814522bee9eff5cea57750be
68,lorio_beans_e80_s123_heldout_sony_cam,123,0.9050,0.8944,0.9019,0.8893,0.3889,0.4051,2026-08-09__sony_cam,24,32,epochs=80; random_erasing_p=0.5; seed=123,"leave-one-rig-out, arm=beans, held out 2026-08-09__sony_cam; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80",2026-08-12T14:56:33.810539+00:00,c653be9850e10206393af56885eddfcdfadbada7
69,lorio_scale_e80_s123_heldout_box_pictures_all_classes,123,0.8773,0.8628,0.8205,0.8004,0.6031,0.5820,2026-08-07__box_pictures_all_classes,36,44,epochs=80; random_erasing_p=0.5; seed=123,"leave-one-rig-out, arm=scale, held out 2026-08-07__box_pictures_all_classes; scale_frac=0.15-0.6, beans=0.0-0.0, epochs=80",2026-08-12T17:04:36.065247+00:00,4964c6a3119c7e54bf697650c6d46943ea36da06
70,lorio_scale_e80_s123_heldout_pixel_cam,123,0.8187,0.7972,0.7713,0.7478,0.6620,0.6207,2026-08-09__pixel_cam,26,34,epochs=80; random_erasing_p=0.5; seed=123,"leave-one-rig-out, arm=scale, held out 2026-08-09__pixel_cam; scale_frac=0.15-0.6, beans=0.0-0.0, epochs=80",2026-08-12T18:53:45.490964+00:00,f841b78393d5819aa2fe76720df195f8d6f42437
71,lorio_scale_e80_s123_heldout_sony_cam,123,0.8576,0.8412,0.8352,0.8158,0.4034,0.4033,2026-08-09__sony_cam,26,34,epochs=80; random_erasing_p=0.5; seed=123,"leave-one-rig-out, arm=scale, held out 2026-08-09__sony_cam; scale_frac=0.15-0.6, beans=0.0-0.0, epochs=80",2026-08-12T20:33:05.971584+00:00,def3f00a9d4646ebe7306f5fb0a5fe28e127f5f5
72,lorio_beans_bright04_heldout_box_pictures_all_classes,42,0.9335,0.9254,0.9068,0.8965,0.6156,0.6140,2026-08-07__box_pictures_all_classes,67,75,epochs=80; random_erasing_p=0.5,"leave-one-rig-out, arm=beans, held out 2026-08-07__box_pictures_all_classes; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80; brightness_jitter=0.4",2026-08-13T07:04:29.588116+00:00,e5d8c51e0e543a3755217711f508ac6b98a1c8e5
73,lorio_beans_bright04_heldout_pixel_cam,42,0.9208,0.9112,0.9050,0.8926,0.7014,0.6774,2026-08-09__pixel_cam,51,59,epochs=80; random_erasing_p=0.5,"leave-one-rig-out, arm=beans, held out 2026-08-09__pixel_cam; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80; brightness_jitter=0.4",2026-08-13T09:56:05.924234+00:00,68c5dd378d0c71db933cd8c5604e76f3f49081e5
74,lorio_beans_bright04_heldout_sony_cam,42,0.9348,0.9267,0.9266,0.9172,0.4044,0.4053,2026-08-09__sony_cam,27,35,epochs=80; random_erasing_p=0.5,"leave-one-rig-out, arm=beans, held out 2026-08-09__sony_cam; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80; brightness_jitter=0.4",2026-08-13T11:46:25.649398+00:00,a19ca0414eb26ca23989a0c23668c5107eeb8642
75,lorio_beans_bright04_s123_heldout_box_pictures_all_classes,123,0.9149,0.9049,0.8895,0.8769,0.6398,0.6436,2026-08-07__box_pictures_all_classes,39,47,epochs=80; random_erasing_p=0.5; seed=123,"leave-one-rig-out, arm=beans, held out 2026-08-07__box_pictures_all_classes; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80; brightness_jitter=0.4",2026-08-13T19:47:46.633312+00:00,b4705b99a6abc2c9a5e59cb45fd0a377bf7350a0
76,lorio_beans_bright04_s123_heldout_pixel_cam,123,0.9046,0.8940,0.8774,0.8628,0.7581,0.7294,2026-08-09__pixel_cam,32,40,epochs=80; random_erasing_p=0.5; seed=123,"leave-one-rig-out, arm=beans, held out 2026-08-09__pixel_cam; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80; brightness_jitter=0.4",2026-08-13T21:44:00.620720+00:00,ee1533e4b0b1bb1d61f0396e308f9f9a0fb59044
77,lorio_beans_bright04_s123_heldout_sony_cam,123,0.9138,0.9032,0.9062,0.8956,0.4173,0.4328,2026-08-09__sony_cam,29,37,epochs=80; random_erasing_p=0.5; seed=123,"leave-one-rig-out, arm=beans, held out 2026-08-09__sony_cam; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80; brightness_jitter=0.4",2026-08-13T23:32:16.786433+00:00,202de2a95becb52ec2d505fd212eb6af63fe612c
78,lorio_beans_bright04_s7_heldout_box_pictures_all_classes,7,0.9046,0.8951,0.9059,0.8962,0.6016,0.6069,2026-08-07__box_pictures_all_classes,29,37,epochs=80; random_erasing_p=0.5; seed=7,"leave-one-rig-out, arm=beans, held out 2026-08-07__box_pictures_all_classes; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80; brightness_jitter=0.4",2026-08-14T01:20:35.568858+00:00,6d4f1ee2a2189a609e6219c1b1d944bc407ec12f
79,lorio_beans_bright04_s7_heldout_pixel_cam,7,0.8852,0.8714,0.9016,0.8895,0.7237,0.6939,2026-08-09__pixel_cam,28,36,epochs=80; random_erasing_p=0.5; seed=7,"leave-one-rig-out, arm=beans, held out 2026-08-09__pixel_cam; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80; brightness_jitter=0.4",2026-08-14T03:06:21.941599+00:00,2c68a7757e1986ac760b98b11acccca16a5ebf7e
80,lorio_beans_bright04_s7_heldout_sony_cam,7,0.9072,0.8971,0.9174,0.9080,0.4751,0.4708,2026-08-09__sony_cam,48,56,epochs=80; random_erasing_p=0.5; seed=7,"leave-one-rig-out, arm=beans, held out 2026-08-09__sony_cam; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80; brightness_jitter=0.4",2026-08-14T05:50:34.383394+00:00,eb0fdd75a79c8bcbf2bee367187a2c284df20ee1
81,lorio_beans_e80_s7_heldout_box_pictures_all_classes,7,0.9046,0.8951,0.9059,0.8962,0.6016,0.6069,2026-08-07__box_pictures_all_classes,29,37,epochs=80; random_erasing_p=0.5; seed=7,"leave-one-rig-out, arm=beans, held out 2026-08-07__box_pictures_all_classes; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80; brightness_jitter=default",2026-08-14T07:39:33.259932+00:00,d5578ef8f0ba9d92f8cb66b71d9330669c24eee9
82,lorio_beans_e80_s7_heldout_pixel_cam,7,0.8852,0.8714,0.9016,0.8895,0.7237,0.6939,2026-08-09__pixel_cam,28,36,epochs=80; random_erasing_p=0.5; seed=7,"leave-one-rig-out, arm=beans, held out 2026-08-09__pixel_cam; scale_frac=0.0-0.0, beans=4.0-7.0, epochs=80; brightness_jitter=default",2026-08-14T09:28:26.790937+00:00,0d930564bf39ba6f1cc8db423db1f988fc18d8ca
